제목,내용,평점,좋아요 수
더 씨딩: 인간 농장,도대체 남주가 한 일이라곤..,2.5,4
칼레이도스코프,필름이 끊긴 영화,3.5,5
스픽 노 이블,가만히 있으면 꼼짝없이 당하게 되어 있다 결말이 당하는걸 넘어 충격 먹었다,4.0,6
원스 어폰 어 타임 인 올드 웨스트,서부영화라기 보다는 전원일기,3.0,5
스픽 노 이블,아니 남편이 도대체 왜 그 모양이냐? 런던가면 바로 이혼해라 ..제임스 맥어보이의 아까운 재능 낭비,3.5,5
서브스턴스,데미 무어는 이번 영화로 고스트를 넘는 '연기 인생 최고의 커리어'를 해냈다,4.5,31
탈출: 프로젝트 사일런스,앤딩씬을 보고 드는 공포..설마 속편을 만들지는 않겠지?,2.0,8
에이리언: 로물루스,아무리 속편을 만들고 쥐어짜도 여전사 리플리와 오리지날에 범접할 수 없다는 또 한번의 교훈을 얻다,3.5,6
"전, 란",선조시대에 이미 자동번역기 AI보다 성능좋은 통역머신이 있었으니..,3.5,9
퍼펙트 데이즈,"소박한 루틴에서 얻는 행복
절망도 기쁨도 모두 인생이다",4.5,12
메넨데즈 형제,'우리들 모두를 구할 수는 없었어요' 세월이 흘러 시대가 변하고 세대도 변했지만 죄의 무게만큼은 그대로였다,4.5,14
숨을 멈추고,사라폴슨이 홀로 고군분투했음에도 모래바람만큼이나 희미하고 애매하기만 하다,2.5,8
메이드,어려운 살림에 로봇은 어떻게 구매할 수가 있는건지,2.0,7
O.J : 메이드 인 아메리카,세기의 재판은 어느새 LA의 재판이 되었고 심슨의 재판으로 시작해서 파먼의 재판으로 끝났다,5.0,6
O.J. 심슨 사건 파일,차라리 다큐로 만들지 그랬어 감독님,2.0,4
하이재킹,부기장 역할을 다른 배우가 했더라면 어땠을까?,3.0,9
디시에르토,조국을 위해 살인을 저지르는 살인마와 조국을 버리고 떠나 온 불법이민자들의 잘못된 만남,3.0,5
울프 크릭 2,부모님이 걱정하는데는 다 이유가 있는 것이다,2.5,5
밤낚시,한 마디로 낚였다..,1.0,5
오직 사랑하는 이들만이 살아남는다,뱀파이어가 공포 대신 예술과 철학을 선택했다,4.0,7
베나지르를 위한 세 개의 노래,남편 샤이스타가 아내 베나지르를 위로해주기 위해 노래를 부르면 부를수록 베나지르는 끝없는 절망으로 떨어진다,4.0,6
셀프/리스,영생과 불멸을 꿈꾸는 인간의 욕망으로 생긴 부작용에 대한 사측의 부적절한 A/S,4.0,6
드라이브,영화를 위한 장치가 너무 많았음에도 나름 선방했다,3.0,5
달짝지근해: 7510,고정틀에서 벗어나지 못한 코믹멜로,2.0,5
레블 리지,과하지 않은 스토리 전개로 진중한 맛이 있다,3.0,9
무도실무관,소재는 좋았으나 갈수록 액션이 지루해진다,3.0,10
트랩,샤말란 부녀의 시너지로 속편도 나오지 않을까?,3.0,13
이스케이프 큐브,윷놀이도 아니고 백도가 있었다니,2.5,5
노 웨이 업,"하늘과 심연, 비행기와 상어..설정은 그럴싸했으나 연출에서 실패",2.5,8
딜리버런스,배우들의 연기력과 실화바탕이라는 몰입강으로 중반까지 잘 왔으나 악령을 쫓게 되면서부터 영화는 갈곳을 잃어버림,3.0,7
카인즈 오브 카인드니스,란티모스야 이제 배우들 좀 바꾸자,4.0,11
스카이워커스: 사랑 이야기,오금이 저린다,3.5,7
제니퍼는 무슨 짓을 했는가,"짐승보다 못한 사람도 아닌
짐승보다 못한 곤충 제니퍼",3.0,6
마더,실화라서 이 영화가 더 끔찍하고 화가 치밀어 오른다,3.0,6
오디티,초자연적이고 오컬트적인 요소에 미스터리적인 요소까지 잘 혼합한 퓨전의 맛,3.0,8
백일염화,백일염화는 내내 고독하고 건조하고 차갑기만하다,4.0,6
올드 웨이: 분노의 추격자,잔뜩 분노만 하다 킬당함,2.0,4
인스티게이터,맷 데이먼과 캐이시 애플렉이 출연함에도 뭐가 더 부족한거야?,3.0,8
비협소백룡,18일만에 찰영을 끝냈다고 전해지는 전대미문의 퓨전 무협,3.0,4
